,synapse_transcript_id
417,ENSMUST00000035822
418,ENSMUST00000045550
419,ENSMUST00000114865
420,ENSMUST00000086828
421,ENSMUST00000121707
422,ENSMUST00000114925
423,ENSMUST00000131309
424,ENSMUST00000139780
425,ENSMUST00000068595
426,ENSMUST00000114712
427,ENSMUST00000032114
428,ENSMUST00000044851
429,ENSMUST00000021990
430,ENSMUST00000052937
431,ENSMUST00000112633
432,ENSMUST00000178687
433,ENSMUST00000142890
434,ENSMUST00000002678
435,ENSMUST00000164100
436,ENSMUST00000105911
437,ENSMUST00000115658
438,ENSMUST00000174421
439,ENSMUST00000020102
440,ENSMUST00000231889
441,ENSMUST00000028103
442,ENSMUST00000189017
443,ENSMUST00000006559
444,ENSMUST00000095078
445,ENSMUST00000185072
446,ENSMUST00000136776
447,ENSMUST00000121390
448,ENSMUST00000177197
449,ENSMUST00000058790
450,ENSMUST00000112059
451,ENSMUST00000096243
452,ENSMUST00000105691
453,ENSMUST00000179305
454,ENSMUST00000070731
455,ENSMUST00000025197
456,ENSMUST00000070735
457,ENSMUST00000192503
458,ENSMUST00000085912
459,ENSMUST00000089119
460,ENSMUST00000179364
461,ENSMUST00000235271
462,ENSMUST00000075054
463,ENSMUST00000076043
464,ENSMUST00000070810
465,ENSMUST00000225337
466,ENSMUST00000023074
467,ENSMUST00000114172
468,ENSMUST00000028209
469,ENSMUST00000155700
470,ENSMUST00000072482
471,ENSMUST00000166237
472,ENSMUST00000026917
473,ENSMUST00000048010
474,ENSMUST00000052441
475,ENSMUST00000101122
476,ENSMUST00000036043
477,ENSMUST00000125894
478,ENSMUST00000234267
479,ENSMUST00000020948
480,ENSMUST00000064831
481,ENSMUST00000064889
482,ENSMUST00000143014
483,ENSMUST00000120990
484,ENSMUST00000212563
485,ENSMUST00000201855
486,ENSMUST00000006828
487,ENSMUST00000106012
488,ENSMUST00000202670
489,ENSMUST00000031793
490,ENSMUST00000196912
491,ENSMUST00000030028
492,ENSMUST00000101509
493,ENSMUST00000138302
494,ENSMUST00000032491
495,ENSMUST00000066432
496,ENSMUST00000195072
497,ENSMUST00000037012
498,ENSMUST00000117095
499,ENSMUST00000202615
500,ENSMUST00000239063
501,ENSMUST00000217796
502,ENSMUST00000037181
503,ENSMUST00000203619
504,ENSMUST00000095739
505,ENSMUST00000175681
506,ENSMUST00000110731
507,ENSMUST00000047973
508,ENSMUST00000173107
509,ENSMUST00000002091
510,ENSMUST00000038191
511,ENSMUST00000150563
512,ENSMUST00000200031
513,ENSMUST00000077847
514,ENSMUST00000086738
515,ENSMUST00000191758
516,ENSMUST00000105249
517,ENSMUST00000082432
518,ENSMUST00000160844
519,ENSMUST00000069453
520,ENSMUST00000110815
521,ENSMUST00000025723
522,ENSMUST00000193446
523,ENSMUST00000097961
524,ENSMUST00000168076
525,ENSMUST00000221470
526,ENSMUST00000021564
527,ENSMUST00000108433
528,ENSMUST00000042974
529,ENSMUST00000060947
530,ENSMUST00000229981
531,ENSMUST00000021424
532,ENSMUST00000078323
533,ENSMUST00000061294
534,ENSMUST00000089912
535,ENSMUST00000076674
536,ENSMUST00000187510
537,ENSMUST00000034030
538,ENSMUST00000042780
539,ENSMUST00000095873
540,ENSMUST00000108450
541,ENSMUST00000078505
542,ENSMUST00000204239
543,ENSMUST00000020238
544,ENSMUST00000165276
545,ENSMUST00000057015
546,ENSMUST00000071370
547,ENSMUST00000100309
548,ENSMUST00000014321
549,ENSMUST00000061093
550,ENSMUST00000049074
551,ENSMUST00000082060
552,ENSMUST00000112480
553,ENSMUST00000118129
554,ENSMUST00000128219
555,ENSMUST00000149280
556,ENSMUST00000077709
557,ENSMUST00000160338
558,ENSMUST00000239075
559,ENSMUST00000030316
560,ENSMUST00000077472
561,ENSMUST00000239124
562,ENSMUST00000111050
563,ENSMUST00000111220
564,ENSMUST00000023689
565,ENSMUST00000033910
566,ENSMUST00000110856
567,ENSMUST00000205400
568,ENSMUST00000030317
569,ENSMUST00000029131
570,ENSMUST00000228188
571,ENSMUST00000121369
572,ENSMUST00000096744
573,ENSMUST00000167002
574,ENSMUST00000102626
575,ENSMUST00000029575
576,ENSMUST00000061506
577,ENSMUST00000192568
578,ENSMUST00000217884
579,ENSMUST00000033096
580,ENSMUST00000068725
581,ENSMUST00000169139
582,ENSMUST00000020695
583,ENSMUST00000170672
584,ENSMUST00000114576
585,ENSMUST00000119142
586,ENSMUST00000030868
587,ENSMUST00000062387
588,ENSMUST00000102643
589,ENSMUST00000129100
590,ENSMUST00000109541
591,ENSMUST00000078975
592,ENSMUST00000066149
593,ENSMUST00000090827
594,ENSMUST00000107166
595,ENSMUST00000059372
596,ENSMUST00000135431
597,ENSMUST00000079491
598,ENSMUST00000146590
599,ENSMUST00000082419
600,ENSMUST00000000285
601,ENSMUST00000046223
602,ENSMUST00000198563
603,ENSMUST00000227021
604,ENSMUST00000106742
605,ENSMUST00000078527
606,ENSMUST00000112835
607,ENSMUST00000089775
608,ENSMUST00000070334
609,ENSMUST00000134004
610,ENSMUST00000002344
611,ENSMUST00000106656
612,ENSMUST00000058154
613,ENSMUST00000002837
614,ENSMUST00000187137
615,ENSMUST00000038128
616,ENSMUST00000024791
617,ENSMUST00000021963
618,ENSMUST00000113401
619,ENSMUST00000227237
620,ENSMUST00000037001
621,ENSMUST00000185234
622,ENSMUST00000022102
623,ENSMUST00000107287
624,ENSMUST00000114079
625,ENSMUST00000035129
626,ENSMUST00000217381
627,ENSMUST00000020188
628,ENSMUST00000148003
629,ENSMUST00000195376
630,ENSMUST00000014505
631,ENSMUST00000020581
632,ENSMUST00000073149
633,ENSMUST00000128960
634,ENSMUST00000015667
635,ENSMUST00000036439
636,ENSMUST00000165392
637,ENSMUST00000043707
638,ENSMUST00000000109
639,ENSMUST00000161204
640,ENSMUST00000114476
641,ENSMUST00000192522
642,ENSMUST00000019962
643,ENSMUST00000029568
644,ENSMUST00000091259
645,ENSMUST00000097464
646,ENSMUST00000101213
647,ENSMUST00000162088
648,ENSMUST00000044567
649,ENSMUST00000026169
650,ENSMUST00000019050
651,ENSMUST00000127833
652,ENSMUST00000114383
653,ENSMUST00000095328
654,ENSMUST00000076038
655,ENSMUST00000163210
656,ENSMUST00000096639
657,ENSMUST00000129423
658,ENSMUST00000106733
659,ENSMUST00000166497
660,ENSMUST00000022616
661,ENSMUST00000146441
662,ENSMUST00000129074
663,ENSMUST00000002090
664,ENSMUST00000066791
665,ENSMUST00000023225
666,ENSMUST00000038665
667,ENSMUST00000194134
668,ENSMUST00000033333
669,ENSMUST00000159970
670,ENSMUST00000022916
671,ENSMUST00000014743
672,ENSMUST00000207061
673,ENSMUST00000033583
674,ENSMUST00000044352
675,ENSMUST00000045286
676,ENSMUST00000154207
677,ENSMUST00000020830
678,ENSMUST00000015712
679,ENSMUST00000018315
680,ENSMUST00000017604
681,ENSMUST00000031597
682,ENSMUST00000037827
683,ENSMUST00000105579
684,ENSMUST00000113906
685,ENSMUST00000020234
686,ENSMUST00000225980
687,ENSMUST00000039750
688,ENSMUST00000028129
689,ENSMUST00000171001
690,ENSMUST00000159692
691,ENSMUST00000120796
692,ENSMUST00000001126
693,ENSMUST00000064821
694,ENSMUST00000129710
695,ENSMUST00000182222
696,ENSMUST00000022699
697,ENSMUST00000017153
698,ENSMUST00000038772
699,ENSMUST00000133142
700,ENSMUST00000041804
701,ENSMUST00000112173
702,ENSMUST00000193603
703,ENSMUST00000128860
704,ENSMUST00000227556
705,ENSMUST00000055946
706,ENSMUST00000199581
707,ENSMUST00000239347
708,ENSMUST00000201415
709,ENSMUST00000058265
710,ENSMUST00000149796
711,ENSMUST00000145216
712,ENSMUST00000194612
713,ENSMUST00000177761
714,ENSMUST00000090554
715,ENSMUST00000036070
716,ENSMUST00000006718
717,ENSMUST00000054449
718,ENSMUST00000041459
719,ENSMUST00000023776
720,ENSMUST00000186360
721,ENSMUST00000061491
722,ENSMUST00000010189
723,ENSMUST00000220459
724,ENSMUST00000226232
725,ENSMUST00000045153
726,ENSMUST00000217198
727,ENSMUST00000048432
728,ENSMUST00000199941
729,ENSMUST00000002043
730,ENSMUST00000162191
731,ENSMUST00000219557
732,ENSMUST00000140188
733,ENSMUST00000093855
734,ENSMUST00000124340
735,ENSMUST00000183211
736,ENSMUST00000075387
737,ENSMUST00000109838
738,ENSMUST00000156979
739,ENSMUST00000090971
740,ENSMUST00000108337
741,ENSMUST00000055559
742,ENSMUST00000073961
743,ENSMUST00000022871
744,ENSMUST00000193869
745,ENSMUST00000106017
746,ENSMUST00000160780
747,ENSMUST00000114548
748,ENSMUST00000035931
749,ENSMUST00000219299
750,ENSMUST00000103236
751,ENSMUST00000163785
752,ENSMUST00000148731
753,ENSMUST00000030257
754,ENSMUST00000112231
755,ENSMUST00000115624
756,ENSMUST00000098500
757,ENSMUST00000061740
758,ENSMUST00000154933
759,ENSMUST00000060210
760,ENSMUST00000008801
761,ENSMUST00000064405
762,ENSMUST00000061828
763,ENSMUST00000240377
764,ENSMUST00000187625
765,ENSMUST00000042261
766,ENSMUST00000057288
767,ENSMUST00000105484
768,ENSMUST00000176322
769,ENSMUST00000148262
770,ENSMUST00000114314
771,ENSMUST00000192931
772,ENSMUST00000019224
773,ENSMUST00000139526
774,ENSMUST00000019333
775,ENSMUST00000061850
776,ENSMUST00000234131
777,ENSMUST00000178504
778,ENSMUST00000022337
779,ENSMUST00000038628
780,ENSMUST00000201448
781,ENSMUST00000031390
782,ENSMUST00000134825
783,ENSMUST00000056149
784,ENSMUST00000034947
785,ENSMUST00000228119
786,ENSMUST00000238946
787,ENSMUST00000090473
788,ENSMUST00000110883
789,ENSMUST00000027068
790,ENSMUST00000172785
791,ENSMUST00000038626
792,ENSMUST00000039840
793,ENSMUST00000033142
794,ENSMUST00000211323
795,ENSMUST00000154668
796,ENSMUST00000187725
797,ENSMUST00000096492
798,ENSMUST00000072971
799,ENSMUST00000190666
800,ENSMUST00000211044
801,ENSMUST00000072093
802,ENSMUST00000029771
803,ENSMUST00000045747
804,ENSMUST00000040184
805,ENSMUST00000136156
806,ENSMUST00000128408
807,ENSMUST00000229373
808,ENSMUST00000047328
809,ENSMUST00000174023
810,ENSMUST00000019998
811,ENSMUST00000067246
812,ENSMUST00000087333
813,ENSMUST00000068456
814,ENSMUST00000078357
815,ENSMUST00000020251
816,ENSMUST00000234175
817,ENSMUST00000128166
818,ENSMUST00000176018
819,ENSMUST00000029355
820,ENSMUST00000225488
821,ENSMUST00000164099
822,ENSMUST00000006235
823,ENSMUST00000080368
824,ENSMUST00000028905
825,ENSMUST00000046426
826,ENSMUST00000223703
827,ENSMUST00000110042
828,ENSMUST00000164465
829,ENSMUST00000079327
830,ENSMUST00000028392
831,ENSMUST00000069281
832,ENSMUST00000219301
833,ENSMUST00000151361
834,ENSMUST00000073884
835,ENSMUST00000113800
836,ENSMUST00000080141
837,ENSMUST00000049460
838,ENSMUST00000033915
839,ENSMUST00000215420
840,ENSMUST00000059354
841,ENSMUST00000103241
842,ENSMUST00000048892
843,ENSMUST00000172808
844,ENSMUST00000218232
845,ENSMUST00000064272
846,ENSMUST00000093490
847,ENSMUST00000082388
848,ENSMUST00000051758
849,ENSMUST00000074546
850,ENSMUST00000047446
851,ENSMUST00000034692
852,ENSMUST00000103053
853,ENSMUST00000109331
